,datetime,open,high,low,close,volume,hold
447,2025-07-01 22:55:00,5028.0,5028.0,5026.0,5028.0,65,216105
448,2025-07-01 22:56:00,5028.0,5028.0,5026.0,5026.0,216,216104
449,2025-07-01 22:57:00,5026.0,5028.0,5024.0,5026.0,783,215821
450,2025-07-01 22:58:00,5024.0,5026.0,5024.0,5026.0,379,215822
451,2025-07-01 22:59:00,5024.0,5024.0,5022.0,5024.0,800,215558
452,2025-07-01 23:00:00,5024.0,5024.0,5020.0,5022.0,1148,215255
453,2025-07-02 09:01:00,5020.0,5028.0,5018.0,5026.0,1878,215162
454,2025-07-02 09:02:00,5026.0,5028.0,5026.0,5028.0,366,215164
455,2025-07-02 09:03:00,5028.0,5030.0,5026.0,5028.0,657,214984
456,2025-07-02 09:04:00,5026.0,5030.0,5026.0,5026.0,1304,214981
457,2025-07-02 09:05:00,5026.0,5028.0,5024.0,5026.0,755,214907
458,2025-07-02 09:06:00,5026.0,5030.0,5024.0,5030.0,771,214944
459,2025-07-02 09:07:00,5030.0,5030.0,5028.0,5028.0,656,214739
460,2025-07-02 09:08:00,5028.0,5030.0,5024.0,5024.0,648,214773
461,2025-07-02 09:09:00,5024.0,5026.0,5024.0,5026.0,572,214696
462,2025-07-02 09:10:00,5026.0,5028.0,5024.0,5026.0,474,214780
463,2025-07-02 09:11:00,5026.0,5030.0,5024.0,5030.0,1007,214836
464,2025-07-02 09:12:00,5030.0,5030.0,5028.0,5030.0,444,214668
465,2025-07-02 09:13:00,5030.0,5032.0,5028.0,5032.0,287,214598
466,2025-07-02 09:14:00,5032.0,5032.0,5028.0,5030.0,878,214541
467,2025-07-02 09:15:00,5030.0,5032.0,5030.0,5030.0,557,214595
468,2025-07-02 09:16:00,5032.0,5032.0,5030.0,5030.0,747,214623
469,2025-07-02 09:17:00,5030.0,5034.0,5030.0,5034.0,1476,214683
470,2025-07-02 09:18:00,5034.0,5038.0,5034.0,5038.0,1785,214213
471,2025-07-02 09:19:00,5038.0,5038.0,5034.0,5036.0,769,214258
472,2025-07-02 09:20:00,5036.0,5038.0,5034.0,5038.0,1305,213948
473,2025-07-02 09:21:00,5038.0,5040.0,5036.0,5040.0,2039,213790
474,2025-07-02 09:22:00,5038.0,5044.0,5038.0,5042.0,2444,213621
475,2025-07-02 09:23:00,5042.0,5048.0,5040.0,5048.0,2840,213669
476,2025-07-02 09:24:00,5050.0,5050.0,5046.0,5048.0,3148,214047
477,2025-07-02 09:25:00,5048.0,5062.0,5046.0,5060.0,7036,212767
478,2025-07-02 09:26:00,5060.0,5062.0,5052.0,5056.0,3850,212970
479,2025-07-02 09:27:00,5058.0,5060.0,5056.0,5056.0,2563,212532
480,2025-07-02 09:28:00,5056.0,5056.0,5050.0,5052.0,1724,212393
481,2025-07-02 09:29:00,5050.0,5052.0,5048.0,5050.0,878,212106
482,2025-07-02 09:30:00,5050.0,5052.0,5050.0,5052.0,605,212101
483,2025-07-02 09:31:00,5050.0,5056.0,5048.0,5056.0,1969,212249
484,2025-07-02 09:32:00,5056.0,5058.0,5052.0,5054.0,1357,212432
485,2025-07-02 09:33:00,5054.0,5058.0,5054.0,5056.0,1166,212278
486,2025-07-02 09:34:00,5056.0,5060.0,5056.0,5058.0,2385,212176
487,2025-07-02 09:35:00,5058.0,5064.0,5058.0,5060.0,3010,211836
488,2025-07-02 09:36:00,5062.0,5062.0,5058.0,5060.0,1631,212077
489,2025-07-02 09:37:00,5060.0,5064.0,5058.0,5062.0,2370,211763
490,2025-07-02 09:38:00,5064.0,5064.0,5058.0,5058.0,1022,211600
491,2025-07-02 09:39:00,5058.0,5060.0,5056.0,5058.0,424,211480
492,2025-07-02 09:40:00,5060.0,5068.0,5058.0,5062.0,3368,210834
493,2025-07-02 09:41:00,5062.0,5066.0,5062.0,5066.0,1319,210612
494,2025-07-02 09:42:00,5066.0,5066.0,5064.0,5064.0,1556,210611
495,2025-07-02 09:43:00,5062.0,5066.0,5062.0,5066.0,671,210642
496,2025-07-02 09:44:00,5066.0,5066.0,5064.0,5066.0,464,210578
497,2025-07-02 09:45:00,5066.0,5066.0,5062.0,5064.0,1016,210432
498,2025-07-02 09:46:00,5064.0,5066.0,5060.0,5060.0,968,210069
499,2025-07-02 09:47:00,5060.0,5062.0,5060.0,5060.0,792,209937
500,2025-07-02 09:48:00,5060.0,5060.0,5058.0,5058.0,1080,209687
501,2025-07-02 09:49:00,5058.0,5060.0,5058.0,5060.0,694,209395
502,2025-07-02 09:50:00,5060.0,5062.0,5058.0,5060.0,285,209379
503,2025-07-02 09:51:00,5062.0,5062.0,5058.0,5060.0,673,209412
504,2025-07-02 09:52:00,5060.0,5060.0,5058.0,5060.0,353,209310
505,2025-07-02 09:53:00,5060.0,5060.0,5058.0,5060.0,188,209284
506,2025-07-02 09:54:00,5060.0,5062.0,5058.0,5060.0,381,209189
507,2025-07-02 09:55:00,5060.0,5062.0,5060.0,5060.0,149,209143
508,2025-07-02 09:56:00,5060.0,5062.0,5060.0,5062.0,382,209151
509,2025-07-02 09:57:00,5060.0,5062.0,5060.0,5062.0,127,209070
510,2025-07-02 09:58:00,5062.0,5062.0,5058.0,5058.0,550,208979
511,2025-07-02 09:59:00,5060.0,5064.0,5058.0,5062.0,784,209102
512,2025-07-02 10:00:00,5062.0,5068.0,5062.0,5064.0,1364,209074
513,2025-07-02 10:01:00,5066.0,5068.0,5062.0,5066.0,1453,209062
514,2025-07-02 10:02:00,5068.0,5068.0,5062.0,5062.0,803,208916
515,2025-07-02 10:03:00,5062.0,5068.0,5062.0,5068.0,953,209025
516,2025-07-02 10:04:00,5068.0,5068.0,5062.0,5062.0,783,208889
517,2025-07-02 10:05:00,5064.0,5066.0,5058.0,5058.0,1441,208881
518,2025-07-02 10:06:00,5060.0,5060.0,5058.0,5058.0,643,208808
519,2025-07-02 10:07:00,5058.0,5064.0,5058.0,5064.0,830,208798
520,2025-07-02 10:08:00,5064.0,5064.0,5062.0,5062.0,136,208724
521,2025-07-02 10:09:00,5062.0,5064.0,5062.0,5064.0,384,208607
522,2025-07-02 10:10:00,5062.0,5064.0,5062.0,5064.0,117,208650
523,2025-07-02 10:11:00,5064.0,5064.0,5060.0,5062.0,594,208411
524,2025-07-02 10:12:00,5062.0,5064.0,5054.0,5056.0,1271,208245
525,2025-07-02 10:13:00,5056.0,5058.0,5056.0,5058.0,1081,208033
526,2025-07-02 10:14:00,5058.0,5058.0,5054.0,5056.0,476,207953
527,2025-07-02 10:15:00,5056.0,5058.0,5054.0,5056.0,1026,207658
528,2025-07-02 10:31:00,5054.0,5062.0,5054.0,5062.0,1008,207490
529,2025-07-02 10:32:00,5062.0,5062.0,5060.0,5060.0,230,207419
530,2025-07-02 10:33:00,5060.0,5064.0,5060.0,5064.0,402,207297
531,2025-07-02 10:34:00,5064.0,5064.0,5058.0,5060.0,525,207255
532,2025-07-02 10:35:00,5060.0,5062.0,5060.0,5060.0,311,207330
533,2025-07-02 10:36:00,5060.0,5062.0,5058.0,5060.0,589,207308
534,2025-07-02 10:37:00,5060.0,5066.0,5060.0,5064.0,1137,206937
535,2025-07-02 10:38:00,5066.0,5066.0,5062.0,5064.0,632,206910
536,2025-07-02 10:39:00,5064.0,5078.0,5062.0,5074.0,7403,205540
537,2025-07-02 10:40:00,5074.0,5074.0,5070.0,5072.0,955,205393
538,2025-07-02 10:41:00,5072.0,5072.0,5070.0,5070.0,610,205444
539,2025-07-02 10:42:00,5070.0,5072.0,5068.0,5068.0,880,205293
540,2025-07-02 10:43:00,5068.0,5070.0,5068.0,5070.0,590,205294
541,2025-07-02 10:44:00,5070.0,5070.0,5068.0,5068.0,599,205299
542,2025-07-02 10:45:00,5070.0,5070.0,5068.0,5068.0,213,205260
543,2025-07-02 10:46:00,5068.0,5070.0,5068.0,5070.0,310,205208
544,2025-07-02 10:47:00,5068.0,5070.0,5068.0,5070.0,397,205097
545,2025-07-02 10:48:00,5070.0,5070.0,5066.0,5066.0,884,204986
546,2025-07-02 10:49:00,5068.0,5068.0,5064.0,5064.0,530,205033
547,2025-07-02 10:50:00,5066.0,5066.0,5062.0,5064.0,386,204977
548,2025-07-02 10:51:00,5062.0,5064.0,5062.0,5064.0,242,204970
549,2025-07-02 10:52:00,5064.0,5064.0,5062.0,5064.0,812,204889
550,2025-07-02 10:53:00,5064.0,5066.0,5064.0,5066.0,395,204783
551,2025-07-02 10:54:00,5066.0,5066.0,5062.0,5064.0,582,204763
552,2025-07-02 10:55:00,5064.0,5068.0,5064.0,5068.0,252,204775
553,2025-07-02 10:56:00,5068.0,5068.0,5066.0,5068.0,314,204691
554,2025-07-02 10:57:00,5066.0,5068.0,5062.0,5064.0,505,204664
555,2025-07-02 10:58:00,5064.0,5068.0,5064.0,5064.0,419,204633
556,2025-07-02 10:59:00,5064.0,5066.0,5062.0,5064.0,262,204613
557,2025-07-02 11:00:00,5064.0,5066.0,5064.0,5064.0,289,204544
558,2025-07-02 11:01:00,5066.0,5068.0,5064.0,5066.0,707,204484
559,2025-07-02 11:02:00,5066.0,5066.0,5064.0,5066.0,384,204502
560,2025-07-02 11:03:00,5066.0,5066.0,5062.0,5064.0,321,204479
561,2025-07-02 11:04:00,5064.0,5066.0,5062.0,5062.0,740,204586
