,Open,High,Low,Close,Volume
15/05/2025 09:45,90,90,86,90,32813
15/05/2025 10:00,90,88,86,88,34424
15/05/2025 10:15,86,88,84,86,3260
15/05/2025 10:45,86,86,84,86,40452
15/05/2025 11:00,86,86,86,88,1218
15/05/2025 11:15,86,84,84,86,1119
15/05/2025 11:30,86,86,84,84,905
15/05/2025 13:45,84,84,86,84,47005
15/05/2025 14:00,84,82,80,84,1366
15/05/2025 14:15,84,86,82,82,733
15/05/2025 14:30,82,80,82,82,764
15/05/2025 14:45,80,78,78,80,52444
15/05/2025 15:00,80,76,78,78,1524
15/05/2025 21:15,74,80,80,78,7007
15/05/2025 21:30,78,78,76,78,1794
15/05/2025 21:45,78,78,76,80,1484
15/05/2025 22:00,80,78,78,78,652
15/05/2025 22:15,76,80,80,76,583
15/05/2025 22:30,76,78,80,78,868
15/05/2025 22:45,78,82,76,80,1364
15/05/2025 23:00,80,74,78,78,313
16/05/2025 09:15,78,82,80,78,1103
16/05/2025 09:30,78,80,78,80,216
16/05/2025 09:45,80,80,80,80,436
16/05/2025 10:00,80,78,80,80,-3657
16/05/2025 10:15,80,82,78,78,1337
16/05/2025 10:45,80,80,80,82,1243
16/05/2025 11:00,82,84,78,80,551
16/05/2025 11:15,80,80,78,82,482
16/05/2025 11:30,82,84,78,80,26907
16/05/2025 13:45,80,80,78,80,4116
16/05/2025 14:00,80,80,74,76,1506
16/05/2025 14:15,76,78,78,76,1649
16/05/2025 14:30,76,78,76,78,1125
16/05/2025 14:45,78,78,76,80,698
16/05/2025 15:00,80,78,78,74,1138
16/05/2025 21:15,78,78,78,80,11323
16/05/2025 21:30,80,78,74,76,2797
16/05/2025 21:45,76,76,74,76,3150
16/05/2025 22:00,78,80,76,86,3392
16/05/2025 22:15,80,82,86,90,2109
16/05/2025 22:30,88,90,88,90,1196
16/05/2025 22:45,90,84,88,84,2533
16/05/2025 23:00,84,74,90,70,1566
19/05/2025 09:15,70,76,82,84,7052
19/05/2025 09:30,82,80,80,82,1417
19/05/2025 09:45,82,78,78,80,1194
19/05/2025 10:00,80,80,80,78,47019
19/05/2025 10:15,78,82,84,84,877
19/05/2025 10:45,84,84,80,84,49424
19/05/2025 11:00,82,82,80,80,-7087
19/05/2025 11:15,80,80,80,80,932
19/05/2025 11:30,80,80,80,82,598
19/05/2025 13:45,80,82,82,82,362
19/05/2025 14:00,82,82,80,80,492
19/05/2025 14:15,80,78,80,80,698
19/05/2025 14:30,82,80,80,78,614
19/05/2025 14:45,78,78,78,76,55008
19/05/2025 15:00,78,78,76,82,2720
19/05/2025 21:15,72,80,74,76,7747
19/05/2025 21:30,76,78,74,78,1910
19/05/2025 21:45,78,82,78,80,1785
19/05/2025 22:00,80,82,80,80,2532
19/05/2025 22:15,80,84,82,80,601
19/05/2025 22:30,80,82,78,84,2018
19/05/2025 22:45,82,82,80,80,879
19/05/2025 23:00,80,82,82,82,855
20/05/2025 09:15,86,84,84,82,3916
20/05/2025 09:30,84,84,80,78,2061
20/05/2025 09:45,78,82,78,80,29711
20/05/2025 10:00,80,82,78,80,364
20/05/2025 10:15,80,82,80,82,1098
20/05/2025 10:45,82,84,82,82,355
20/05/2025 11:00,82,86,84,84,787
20/05/2025 11:15,84,86,82,84,1036
20/05/2025 11:30,86,86,86,88,667
20/05/2025 13:45,84,86,86,88,-5477
20/05/2025 14:00,88,88,88,86,307
20/05/2025 14:15,86,88,88,86,554
20/05/2025 14:30,86,86,86,86,288
20/05/2025 14:45,86,88,88,88,-7032
20/05/2025 15:00,88,92,86,96,2046
20/05/2025 21:15,100,92,98,92,14646
20/05/2025 21:30,92,96,92,96,7173
20/05/2025 21:45,96,92,98,90,2780
20/05/2025 22:00,92,92,96,96,879
20/05/2025 22:15,96,94,94,96,1041
20/05/2025 22:30,94,96,94,96,823
20/05/2025 22:45,94,94,90,94,2335
20/05/2025 23:00,94,94,94,92,1125
21/05/2025 09:15,96,92,94,92,1612
21/05/2025 09:30,92,92,90,92,1589
21/05/2025 09:45,92,90,92,98,-29
21/05/2025 10:00,98,96,100,100,510
21/05/2025 10:15,100,104,104,104,1126
21/05/2025 10:45,104,104,104,102,1887
21/05/2025 11:00,102,104,100,100,903
21/05/2025 11:15,100,104,98,100,620
21/05/2025 11:30,100,96,100,100,455
21/05/2025 13:45,100,104,98,102,2312
21/05/2025 14:00,104,106,102,100,966
21/05/2025 14:15,100,98,98,96,1113
